Country;Desc_country;SSM;LEI_Code;Name;Finrep;Fin_year_end;TE_20S;LEI_Code_TE20S;TE_19;LEI_Code_TE19;TE_18;LEI_Code_TE18;TR_17;LEI_Code_17;TR_16;LEI_Code_TR16;TR_15;LEI_Code_TR15
IT;Italy;Yes;J4CP7MHCXR8DAQMKIL78;Banca Monte dei Paschi di Siena S.p.A.;Yes - IFRS;31/12;Y;J4CP7MHCXR8DAQMKIL78;Y;J4CP7MHCXR8DAQMKIL78;Y;J4CP7MHCXR8DAQMKIL78;Y;J4CP7MHCXR8DAQMKIL78;Y;J4CP7MHCXR8DAQMKIL78;Y;J4CP7MHCXR8DAQMKIL78
IT;Italy;Yes;LOO0AWXR8GF142JCO404;Cassa Centrale Banca - Credito Cooperativo Italiano SpA;Yes - IFRS;31/12;Y;LOO0AWXR8GF142JCO404;Y;LOO0AWXR8GF142JCO404;;;;;;;;
IT;Italy;Yes;N747OI7JINV7RUUH6190;BPER Banca S.p.A.;Yes - IFRS;31/12;Y;N747OI7JINV7RUUH6190;Y;N747OI7JINV7RUUH6190;Y;N747OI7JINV7RUUH6190;Y;N747OI7JINV7RUUH6190;Y;N747OI7JINV7RUUH6190;Y;N747OI7JINV7RUUH6190
IT;Italy;Yes;NNVPP80YIZGEY2314M97;ICCREA Banca S.p.A. – Istituto Centrale del Credito Cooperativo;Yes - IFRS;31/12;Y;NNVPP80YIZGEY2314M97;Y;NNVPP80YIZGEY2314M97;Y;NNVPP80YIZGEY2314M97;Y;NNVPP80YIZGEY2314M97;Y;815600D79C96B9661149;;
IT;Italy;Yes;PSNL19R2RXX5U3QWHI44;Mediobanca – Banca di Credito Finanziario S.p.A.;Yes - IFRS;30/06;Y;PSNL19R2RXX5U3QWHI44;Y;PSNL19R2RXX5U3QWHI44;Y;PSNL19R2RXX5U3QWHI44;Y;PSNL19R2RXX5U3QWHI44;Y;PSNL19R2RXX5U3QWHI44;Y;PSNL19R2RXX5U3QWHI44
LT;Lithuania;Yes;549300TK038P6EV4YU51;Akcin? bendrov? ?iauli? bankas;Yes - IFRS;31/12;Y;549300TK038P6EV4YU51;Y;549300TK038P6EV4YU51;;;;;;;;
LU;Luxembourg;Yes;549300AUUQG072ATL746;Precision Capital S.A.;Yes - IFRS;31/12;Y;549300AUUQG072ATL746;Y;549300AUUQG072ATL746;Y;549300AUUQG072ATL746;Y;549300AUUQG072ATL746;Y;549300AUUQG072ATL746;Y;549300AUUQG072ATL746
LU;Luxembourg;Yes;549300IVXKQHV6O7PY61;RBC Investor Services Bank S.A.;Yes - IFRS;31/12;Y;549300IVXKQHV6O7PY61;Y;549300IVXKQHV6O7PY61;Y;549300IVXKQHV6O7PY61;Y;549300IVXKQHV6O7PY61;Y;549300IVXKQHV6O7PY61;;
LU;Luxembourg;Yes;7W1GMC6J4KGLBBUSYP52;J.P. Morgan Bank Luxembourg S.A.;No FINREP;31/12;Y;7W1GMC6J4KGLBBUSYP52;Y;7W1GMC6J4KGLBBUSYP52;Y;7W1GMC6J4KGLBBUSYP52;Y;7W1GMC6J4KGLBBUSYP52;;;;
LU;Luxembourg;Yes;9CZ7TVMR36CYD5TZBS50;Banque Internationale à Luxembourg;Yes - IFRS;31/12;Y;9CZ7TVMR36CYD5TZBS50;Y;9CZ7TVMR36CYD5TZBS50;;;;;;;;
LU;Luxembourg;Yes;R7CQUF1DQM73HUTV1078;Banque et Caisse d’Epargne de l’Etat, Luxembourg;No FINREP;31/12;Y;R7CQUF1DQM73HUTV1078;Y;R7CQUF1DQM73HUTV1078;Y;R7CQUF1DQM73HUTV1078;Y;R7CQUF1DQM73HUTV1078;Y;R7CQUF1DQM73HUTV1078;Y;R7CQUF1DQM73HUTV1078
LV;Latvia;Yes;2138009Y59EAR7H1UO97;"Akciju sabiedr?ba ""Citadele banka""";Yes - IFRS;31/12;Y;2138009Y59EAR7H1UO97;Y;2138009Y59EAR7H1UO97;;;;;;;;
MT;Malta;Yes;213800EUDXECGWMKKR98;Commbank Europe Ltd;No FINREP;30/06;Y;213800EUDXECGWMKKR98;Y;213800EUDXECGWMKKR98;Y;213800EUDXECGWMKKR98;Y;213800EUDXECGWMKKR98;Y;213800EUDXECGWMKKR98;;
MT;Malta;Yes;213800TC9PZRBHMJW403;MDB Group Limited;Yes - IFRS;31/12;Y;213800TC9PZRBHMJW403;Y;213800TC9PZRBHMJW403;Y;213800TC9PZRBHMJW403;Y;213800TC9PZRBHMJW403;Y;213800TC9PZRBHMJW403;;
MT;Malta;Yes;529900RWC8ZYB066JF16;Bank of Valletta Plc;Yes - IFRS;31/12;Y;529900RWC8ZYB066JF16;Y;529900RWC8ZYB066JF16;Y;529900RWC8ZYB066JF16;Y;529900RWC8ZYB066JF16;Y;529900RWC8ZYB066JF16;Y;529900RWC8ZYB066JF16
MT;Malta;Yes;549300X34UUBDEUL1Z91;HSBC Bank Malta p.l.c.;Yes - IFRS;31-Dec;;;;;;;;;;;;
NL;Netherlands;Yes;529900GGYMNGRQTDOO93;BNG Bank N.V.;Yes - IFRS;31/12;Y;529900GGYMNGRQTDOO93;Y;529900GGYMNGRQTDOO93;Y;529900GGYMNGRQTDOO93;Y;529900GGYMNGRQTDOO93;Y;529900GGYMNGRQTDOO93;Y;529900GGYMNGRQTDOO93
NL;Netherlands;Yes;549300NYKK9MWM7GGW15;ING Groep N.V.;Yes - IFRS;31/12;Y;549300NYKK9MWM7GGW15;Y;549300NYKK9MWM7GGW15;Y;549300NYKK9MWM7GGW15;Y;549300NYKK9MWM7GGW15;Y;549300NYKK9MWM7GGW15;Y;549300NYKK9MWM7GGW15
NL;Netherlands;Yes;724500A1FNICHSDF2I11;de Volksbank N.V.;Yes - IFRS;31/12;Y;724500A1FNICHSDF2I11;Y;724500A1FNICHSDF2I11;Y;724500VLXQUMMD5BJB61;Y;724500VLXQUMMD5BJB61;Y;724500VLXQUMMD5BJB61;Y;72450032NPOX5UJQTI97
NL;Netherlands;Yes;BFXS5XCH7N0Y05NIXW11;ABN AMRO Bank N.V.;Yes - IFRS;31/12;Y;BFXS5XCH7N0Y05NIXW11;Y;BFXS5XCH7N0Y05NIXW11;;;;;;;;
NL;Netherlands;Yes;DG3RU1DBUFHT4ZF9WN62;Coöperatieve Rabobank U.A.;Yes - IFRS;31/12;Y;DG3RU1DBUFHT4ZF9WN62;Y;DG3RU1DBUFHT4ZF9WN62;Y;DG3RU1DBUFHT4ZF9WN62;Y;DG3RU1DBUFHT4ZF9WN62;Y;DG3RU1DBUFHT4ZF9WN62;Y;DG3RU1DBUFHT4ZF9WN62
NL;Netherlands;Yes;JLP5FSPH9WPSHY3NIM24;Nederlandse Waterschapsbank N.V.;No FINREP;31/12;Y;JLP5FSPH9WPSHY3NIM24;Y;JLP5FSPH9WPSHY3NIM24;Y;JLP5FSPH9WPSHY3NIM24;Y;JLP5FSPH9WPSHY3NIM24;Y;JLP5FSPH9WPSHY3NIM24;Y;JLP5FSPH9WPSHY3NIM24
NO;Norway;No;549300GKFG0RYRRQ1414;DNB BANK ASA;Yes - IFRS;31/12;Y;549300GKFG0RYRRQ1414;Y;549300GKFG0RYRRQ1414;Y;549300GKFG0RYRRQ1414;Y;549300GKFG0RYRRQ1414;Y;549300GKFG0RYRRQ1414;Y;549300GKFG0RYRRQ1414
NO;Norway;No;549300Q3OIWRHQUQM052;SPAREBANK 1 SR-BANK ASA;Yes - IFRS;31/12;Y;549300Q3OIWRHQUQM052;Y;549300Q3OIWRHQUQM052;Y;549300Q3OIWRHQUQM052;Y;549300Q3OIWRHQUQM052;Y;549300Q3OIWRHQUQM052;;
NO;Norway;No;7V6Z97IO7R1SEAO84Q32;SPAREBANK 1 SMN;Yes - IFRS;31/12;Y;7V6Z97IO7R1SEAO84Q32;Y;7V6Z97IO7R1SEAO84Q32;Y;7V6Z97IO7R1SEAO84Q32;Y;7V6Z97IO7R1SEAO84Q32;;;;
PL;Poland;No;5493000LKS7B3UTF7H35;Bank Polska Kasa Opieki SA;Yes - IFRS;31/12;Y;5493000LKS7B3UTF7H35;Y;5493000LKS7B3UTF7H35;Y;5493000LKS7B3UTF7H35;Y;5493000LKS7B3UTF7H35;;;;
PL;Poland;No;P4GTT6GF1W40CVIMFR43;Powszechna Kasa Oszcz?dno?ci Bank Polski SA;Yes - IFRS;31/12;Y;P4GTT6GF1W40CVIMFR43;Y;P4GTT6GF1W40CVIMFR43;Y;P4GTT6GF1W40CVIMFR43;Y;P4GTT6GF1W40CVIMFR43;Y;P4GTT6GF1W40CVIMFR43;Y;P4GTT6GF1W40CVIMFR43
PT;Portugal;Yes;2138004FIUXU3B2MR537;Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.;Yes - IFRS;31/12;Y;2138004FIUXU3B2MR537;Y;2138004FIUXU3B2MR537;Y;2138004FIUXU3B2MR537;Y;2138004FIUXU3B2MR537;Y;2138004FIUXU3B2MR537;;
PT;Portugal;Yes;222100K6QL2V4MLHWQ08;LSF Nani Investments S.à r.l.;Yes - IFRS;31/12;Y;222100K6QL2V4MLHWQ08;Y;222100K6QL2V4MLHWQ08;;;;;;;;
PT;Portugal;Yes;529900H2MBEC07BLTB26;Caixa Central - Caixa Central de Crédito Agrícola Mútuo, CRL;Yes - IFRS;31/12;Y;529900H2MBEC07BLTB26;Y;529900H2MBEC07BLTB26;Y;529900H2MBEC07BLTB26;Y;529900H2MBEC07BLTB26;Y;529900H2MBEC07BLTB26;;
PT;Portugal;Yes;JU1U6S0DG9YLT7N8ZV32;Banco Comercial Português, SA;Yes - IFRS;31/12;Y;JU1U6S0DG9YLT7N8ZV32;Y;JU1U6S0DG9YLT7N8ZV32;Y;JU1U6S0DG9YLT7N8ZV32;Y;JU1U6S0DG9YLT7N8ZV32;Y;JU1U6S0DG9YLT7N8ZV32;Y;JU1U6S0DG9YLT7N8ZV32
PT;Portugal;Yes;TO822O0VT80V06K0FH57;Caixa Geral de Depósitos, SA;Yes - IFRS;31/12;Y;TO822O0VT80V06K0FH57;Y;TO822O0VT80V06K0FH57;Y;TO822O0VT80V06K0FH57;Y;TO822O0VT80V06K0FH57;Y;TO822O0VT80V06K0FH57;Y;TO822O0VT80V06K0FH57
RO;Romania;No;549300RG3H390KEL8896;Banca Transilvania;Yes - IFRS;31/12;Y;549300RG3H390KEL8896;Y;549300RG3H390KEL8896;Y;549300RG3H390KEL8896;Y;549300RG3H390KEL8896;Y;549300RG3H390KEL8896;;
SE;Sweden;No;549300C6TUMDXNOVXS82;Länsförsäkringar Bank AB - group;Yes - IFRS;31/12;Y;549300C6TUMDXNOVXS82;Y;549300C6TUMDXNOVXS82;Y;549300C6TUMDXNOVXS82;Y;549300C6TUMDXNOVXS82;;;;
SE;Sweden;No;EV2XZWMLLXF2QRX0CD47;Kommuninvest - group;Yes - IFRS;31/12;Y;EV2XZWMLLXF2QRX0CD47;Y;EV2XZWMLLXF2QRX0CD47;Y;EV2XZWMLLXF2QRX0CD47;Y;EV2XZWMLLXF2QRX0CD47;Y;EV2XZWMLLXF2QRX0CD47;;
SE;Sweden;No;F3JS33DEI6XQ4ZBPTN86;Skandinaviska Enskilda Banken - group;Yes - IFRS;31/12;Y;F3JS33DEI6XQ4ZBPTN86;Y;F3JS33DEI6XQ4ZBPTN86;Y;F3JS33DEI6XQ4ZBPTN86;Y;F3JS33DEI6XQ4ZBPTN86;Y;F3JS33DEI6XQ4ZBPTN86;Y;F3JS33DEI6XQ4ZBPTN86
SE;Sweden;No;H0YX5LBGKDVOWCXBZ594;SBAB Bank AB - group;Yes - IFRS;31/12;Y;H0YX5LBGKDVOWCXBZ594;Y;H0YX5LBGKDVOWCXBZ594;Y;H0YX5LBGKDVOWCXBZ594;Y;H0YX5LBGKDVOWCXBZ594;Y;H0YX5LBGKDVOWCXBZ594;;
SE;Sweden;No;M312WZV08Y7LYUC71685;Swedbank - group;Yes - IFRS;31/12;Y;M312WZV08Y7LYUC71685;Y;M312WZV08Y7LYUC71685;Y;M312WZV08Y7LYUC71685;Y;M312WZV08Y7LYUC71685;Y;M312WZV08Y7LYUC71685;Y;M312WZV08Y7LYUC71685
SE;Sweden;No;NHBDILHZTYCNBV5UYZ31;Svenska Handelsbanken - group;Yes - IFRS;31/12;Y;NHBDILHZTYCNBV5UYZ31;Y;NHBDILHZTYCNBV5UYZ31;Y;NHBDILHZTYCNBV5UYZ31;Y;NHBDILHZTYCNBV5UYZ31;Y;NHBDILHZTYCNBV5UYZ31;Y;NHBDILHZTYCNBV5UYZ31
SI;Slovenia;yes;222100ZXZ9BRGDMKXL75;Biser Topco S.à.r.l.;Yes - IFRS;31/12;;;;;;;;;;;;
SI;Slovenia;Yes;5493001BABFV7P27OW30;Nova Ljubljanska Banka d.d., Ljubljana;Yes - IFRS;31/12;Y;5493001BABFV7P27OW30;Y;5493001BABFV7P27OW30;Y;5493001BABFV7P27OW30;Y;5493001BABFV7P27OW30;Y;5493001BABFV7P27OW30;Y;5493001BABFV7P27OW30
GB;United Kingdom;No;2138005O9XJIJN4JPN90;Natwest Group plc ;Yes - IFRS;31/12;Y;2138005O9XJIJN4JPN90;Y;2138005O9XJIJN4JPN90;Y;2138005O9XJIJN4JPN90;Y;2138005O9XJIJN4JPN90;Y;2138005O9XJIJN4JPN90;Y;2138005O9XJIJN4JPN90
GB;United Kingdom;No;549300PPXHEU2JF0AM85;Lloyds Banking Group Plc;Yes - IFRS;31/12;Y;549300PPXHEU2JF0AM85;Y;549300PPXHEU2JF0AM85;Y;549300PPXHEU2JF0AM85;Y;549300PPXHEU2JF0AM85;Y;549300PPXHEU2JF0AM85;Y;549300PPXHEU2JF0AM85
GB;United Kingdom;No;549300XFX12G42QIKN82;Nationwide Building Society;Yes - IFRS;04/04;Y;549300XFX12G42QIKN82;Y;549300XFX12G42QIKN82;Y;549300XFX12G42QIKN82;Y;549300XFX12G42QIKN82;;;;
GB;United Kingdom;No;G5GSEF7VJP5I7OUK5573;Barclays Plc;Yes - IFRS;31/12;Y;G5GSEF7VJP5I7OUK5573;Y;G5GSEF7VJP5I7OUK5573;Y;G5GSEF7VJP5I7OUK5573;Y;G5GSEF7VJP5I7OUK5573;Y;G5GSEF7VJP5I7OUK5573;Y;G5GSEF7VJP5I7OUK5573
GB;United Kingdom;No;MLU0ZO3ML4LN2LL2TL39;HSBC Holdings Plc;Yes - IFRS;31/12;Y;MLU0ZO3ML4LN2LL2TL39;Y;MLU0ZO3ML4LN2LL2TL39;Y;MLU0ZO3ML4LN2LL2TL39;Y;MLU0ZO3ML4LN2LL2TL39;Y;MLU0ZO3ML4LN2LL2TL39;Y;MLU0ZO3ML4LN2LL2TL39
GB;United Kingdom;No;U4LOSYZ7YG4W3S5F2G91;Standard Chartered Plc;Yes - IFRS;31/12;Y;U4LOSYZ7YG4W3S5F2G91;Y;U4LOSYZ7YG4W3S5F2G91;Y;U4LOSYZ7YG4W3S5F2G91;Y;U4LOSYZ7YG4W3S5F2G91;;;;
OT;Other;No;xxxxxxxxxxxxxxxxxxxx;All other banks;;31/12;Y;xxxxxxxxxxxxxxxxxxxx;Y;xxxxxxxxxxxxxxxxxxxx;Y;xxxxxxxxxxxxxxxxxxxx;Y;xxxxxxxxxxxxxxxxxxxx;Y;xxxxxxxxxxxxxxxxxxxx;;
;;;;;;;;;;;;;;;;;;

